=== [PHASE 2/2] Full experiment start Sun Sep 14 12:58:12 AM UTC 2025 ===
INFO 09-14 00:58:19 [__init__.py:216] Automatically detected platform cuda.
trainable params: 884,736 || all params: 126,124,032 || trainable%: 0.7015
{'loss': 2.6759, 'grad_norm': 3.285010576248169, 'learning_rate': 1.8898149150340947e-05, 'epoch': 0.06}
{'loss': 2.6776, 'grad_norm': 3.871514320373535, 'learning_rate': 1.8876501785907567e-05, 'epoch': 0.06}
{'loss': 2.6763, 'grad_norm': 3.9284560680389404, 'learning_rate': 1.8854854421474188e-05, 'epoch': 0.06}
{'loss': 2.7936, 'grad_norm': 4.020543575286865, 'learning_rate': 1.883320705704081e-05, 'epoch': 0.06}
{'loss': 2.7437, 'grad_norm': 4.087677001953125, 'learning_rate': 1.8811559692607425e-05, 'epoch': 0.06}
{'loss': 2.7282, 'grad_norm': 4.054635047912598, 'learning_rate': 1.8789912328174046e-05, 'epoch': 0.06}
{'loss': 2.5665, 'grad_norm': 3.613555431365967, 'learning_rate': 1.8768264963740666e-05, 'epoch': 0.06}
{'loss': 2.7339, 'grad_norm': 4.037761688232422, 'learning_rate': 1.8746617599307287e-05, 'epoch': 0.06}
{'loss': 2.6536, 'grad_norm': 3.1549434661865234, 'learning_rate': 1.8724970234873904e-05, 'epoch': 0.06}
{'loss': 2.6314, 'grad_norm': 3.7594892978668213, 'learning_rate': 1.8703322870440524e-05, 'epoch': 0.06}
{'loss': 2.7059, 'grad_norm': 4.626987934112549, 'learning_rate': 1.8681675506007145e-05, 'epoch': 0.07}
{'loss': 2.6146, 'grad_norm': 4.542305946350098, 'learning_rate': 1.8660028141573765e-05, 'epoch': 0.07}
{'loss': 2.7939, 'grad_norm': 3.333045721054077, 'learning_rate': 1.8638380777140386e-05, 'epoch': 0.07}
{'loss': 2.7645, 'grad_norm': 4.124202728271484, 'learning_rate': 1.8616733412707003e-05, 'epoch': 0.07}
{'loss': 2.8015, 'grad_norm': 4.763884544372559, 'learning_rate': 1.8595086048273627e-05, 'epoch': 0.07}
{'loss': 2.657, 'grad_norm': 3.9211981296539307, 'learning_rate': 1.8573438683840244e-05, 'epoch': 0.07}
{'loss': 2.6073, 'grad_norm': 4.012018203735352, 'learning_rate': 1.8551791319406864e-05, 'epoch': 0.07}
{'loss': 2.5886, 'grad_norm': 3.097001075744629, 'learning_rate': 1.8530143954973485e-05, 'epoch': 0.07}
{'loss': 2.8013, 'grad_norm': 3.695796251296997, 'learning_rate': 1.8508496590540105e-05, 'epoch': 0.07}
{'loss': 2.7697, 'grad_norm': 5.0187482833862305, 'learning_rate': 1.8486849226106722e-05, 'epoch': 0.08}
{'loss': 2.7984, 'grad_norm': 4.392693042755127, 'learning_rate': 1.8465201861673343e-05, 'epoch': 0.08}
{'loss': 2.6251, 'grad_norm': 4.701927185058594, 'learning_rate': 1.8443554497239963e-05, 'epoch': 0.08}
{'loss': 2.585, 'grad_norm': 4.001613616943359, 'learning_rate': 1.8421907132806584e-05, 'epoch': 0.08}
{'loss': 2.6807, 'grad_norm': 4.179993152618408, 'learning_rate': 1.8400259768373204e-05, 'epoch': 0.08}
{'loss': 2.6791, 'grad_norm': 4.340804100036621, 'learning_rate': 1.837861240393982e-05, 'epoch': 0.08}
{'loss': 2.5853, 'grad_norm': 3.8597233295440674, 'learning_rate': 1.835696503950644e-05, 'epoch': 0.08}
{'loss': 2.687, 'grad_norm': 4.6363677978515625, 'learning_rate': 1.8335317675073062e-05, 'epoch': 0.08}
{'loss': 2.7937, 'grad_norm': 3.6072542667388916, 'learning_rate': 1.8313670310639682e-05, 'epoch': 0.08}
{'loss': 2.6931, 'grad_norm': 3.8815770149230957, 'learning_rate': 1.82920229462063e-05, 'epoch': 0.09}
{'loss': 2.6548, 'grad_norm': 3.7454755306243896, 'learning_rate': 1.827037558177292e-05, 'epoch': 0.09}
{'loss': 2.6989, 'grad_norm': 4.032376766204834, 'learning_rate': 1.824872821733954e-05, 'epoch': 0.09}
{'loss': 2.6596, 'grad_norm': 3.7046570777893066, 'learning_rate': 1.822708085290616e-05, 'epoch': 0.09}
{'loss': 2.7154, 'grad_norm': 4.693314075469971, 'learning_rate': 1.8205433488472778e-05, 'epoch': 0.09}
{'loss': 2.5794, 'grad_norm': 3.7644059658050537, 'learning_rate': 1.81837861240394e-05, 'epoch': 0.09}
{'loss': 2.6958, 'grad_norm': 4.122602462768555, 'learning_rate': 1.816213875960602e-05, 'epoch': 0.09}
{'loss': 2.7036, 'grad_norm': 3.9829652309417725, 'learning_rate': 1.814049139517264e-05, 'epoch': 0.09}
{'loss': 2.5854, 'grad_norm': 4.201626300811768, 'learning_rate': 1.811884403073926e-05, 'epoch': 0.09}
{'loss': 2.6576, 'grad_norm': 4.123581409454346, 'learning_rate': 1.8097196666305877e-05, 'epoch': 0.1}
{'loss': 2.7772, 'grad_norm': 3.72590970993042, 'learning_rate': 1.80755493018725e-05, 'epoch': 0.1}
{'loss': 2.7032, 'grad_norm': 4.019972324371338, 'learning_rate': 1.8053901937439118e-05, 'epoch': 0.1}
{'loss': 2.713, 'grad_norm': 4.327662467956543, 'learning_rate': 1.8032254573005738e-05, 'epoch': 0.1}
{'loss': 2.7136, 'grad_norm': 4.007317543029785, 'learning_rate': 1.801060720857236e-05, 'epoch': 0.1}
{'loss': 2.7171, 'grad_norm': 4.324578285217285, 'learning_rate': 1.798895984413898e-05, 'epoch': 0.1}
{'loss': 2.6045, 'grad_norm': 3.924563407897949, 'learning_rate': 1.7967312479705596e-05, 'epoch': 0.1}
{'loss': 2.6855, 'grad_norm': 5.68851900100708, 'learning_rate': 1.7945665115272217e-05, 'epoch': 0.1}
{'loss': 2.5265, 'grad_norm': 4.539766311645508, 'learning_rate': 1.7924017750838837e-05, 'epoch': 0.1}
{'loss': 2.6883, 'grad_norm': 3.3139405250549316, 'learning_rate': 1.7902370386405458e-05, 'epoch': 0.1}
{'loss': 2.6043, 'grad_norm': 4.10004186630249, 'learning_rate': 1.7880723021972078e-05, 'epoch': 0.11}
{'loss': 2.6194, 'grad_norm': 3.6259570121765137, 'learning_rate': 1.7859075657538695e-05, 'epoch': 0.11}
{'loss': 2.6687, 'grad_norm': 4.297545909881592, 'learning_rate': 1.7837428293105316e-05, 'epoch': 0.11}
{'loss': 2.6096, 'grad_norm': 3.9745802879333496, 'learning_rate': 1.7815780928671936e-05, 'epoch': 0.11}
{'loss': 2.5796, 'grad_norm': 3.502500295639038, 'learning_rate': 1.7794133564238556e-05, 'epoch': 0.11}
{'loss': 2.735, 'grad_norm': 3.8935093879699707, 'learning_rate': 1.7772486199805174e-05, 'epoch': 0.11}
{'loss': 2.66, 'grad_norm': 4.137825965881348, 'learning_rate': 1.7750838835371794e-05, 'epoch': 0.11}
{'loss': 2.4859, 'grad_norm': 3.8339271545410156, 'learning_rate': 1.7729191470938414e-05, 'epoch': 0.11}
{'loss': 2.7143, 'grad_norm': 3.5386688709259033, 'learning_rate': 1.7707544106505035e-05, 'epoch': 0.11}
{'loss': 2.6507, 'grad_norm': 4.1386942863464355, 'learning_rate': 1.7685896742071652e-05, 'epoch': 0.12}
{'loss': 2.6149, 'grad_norm': 3.461989164352417, 'learning_rate': 1.7664249377638272e-05, 'epoch': 0.12}
{'loss': 2.5596, 'grad_norm': 3.270503520965576, 'learning_rate': 1.7642602013204896e-05, 'epoch': 0.12}
{'loss': 2.5865, 'grad_norm': 4.085372447967529, 'learning_rate': 1.7620954648771513e-05, 'epoch': 0.12}
{'loss': 2.6137, 'grad_norm': 3.7231011390686035, 'learning_rate': 1.7599307284338134e-05, 'epoch': 0.12}
{'loss': 2.8122, 'grad_norm': 3.9202895164489746, 'learning_rate': 1.7577659919904754e-05, 'epoch': 0.12}
{'loss': 2.7048, 'grad_norm': 5.342920780181885, 'learning_rate': 1.7556012555471375e-05, 'epoch': 0.12}
{'loss': 2.5296, 'grad_norm': 4.592594623565674, 'learning_rate': 1.7534365191037992e-05, 'epoch': 0.12}
{'loss': 2.5639, 'grad_norm': 3.7046964168548584, 'learning_rate': 1.7512717826604612e-05, 'epoch': 0.12}
{'loss': 2.6494, 'grad_norm': 4.238687515258789, 'learning_rate': 1.7491070462171233e-05, 'epoch': 0.13}
{'loss': 2.6327, 'grad_norm': 4.619099140167236, 'learning_rate': 1.7469423097737853e-05, 'epoch': 0.13}
{'loss': 2.6234, 'grad_norm': 3.9229958057403564, 'learning_rate': 1.744777573330447e-05, 'epoch': 0.13}
{'loss': 2.4776, 'grad_norm': 3.758528232574463, 'learning_rate': 1.742612836887109e-05, 'epoch': 0.13}
{'loss': 2.6726, 'grad_norm': 4.0513386726379395, 'learning_rate': 1.740448100443771e-05, 'epoch': 0.13}
{'loss': 2.5199, 'grad_norm': 3.879363536834717, 'learning_rate': 1.738283364000433e-05, 'epoch': 0.13}
